time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-22T18:57:32.990Z,32.225,-115.2278333,18.5,3.99,ml,21,148,0.1503,0.31,ci,ci37610567,2017-03-23T19:02:55.481Z,"6km W of Alberto Oviedo Mota, B.C., MX",earthquake,0.79,1.36,0.185,288,reviewed,ci,ci
2017-03-22T18:57:16.510Z,38.5323,72.6237,92.42,4.3,mb,,79,1.144,0.86,us,us20008tuu,2017-03-22T22:43:08.040Z,"96km WSW of Karakul, Tajikistan",earthquake,7.2,8,0.085,39,reviewed,us,us
2017-03-22T18:20:31.122Z,57.8493,-156.1984,122.1,3.8,ml,,,,0.9,ak,ak15595590,2017-03-22T21:58:35.380Z,"97km SSE of King Salmon, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-03-22T17:22:54.622Z,52.8723,-174.9241,194.4,3.2,ml,,,,0.63,ak,ak15594372,2017-03-22T23:34:06.895Z,"89km NNW of Atka, Alaska",earthquake,,4.1,,,reviewed,ak,ak
2017-03-22T16:40:38.900Z,35.8543,-96.6629,5,2.5,ml,,45,,0.21,us,us20008tts,2017-03-23T22:54:38.040Z,"11km N of Stroud, Oklahoma",earthquake,1.1,3.2,,,reviewed,tul,tul
2017-03-22T15:25:11.440Z,36.6413333,-121.2568333,4.96,2.86,ml,61,50,0.05558,0.06,nc,nc72779376,2017-03-23T01:22:03.473Z,"21km SSE of Ridgemark, California",earthquake,0.09,0.42,0.204,23,reviewed,nc,nc
2017-03-22T14:47:22.180Z,36.6681,141.0511,50.71,4.1,mb,,153,1.216,0.74,us,us20008twn,2017-03-22T22:24:37.376Z,"29km ESE of Kitaibaraki, Japan",earthquake,6.7,9.6,0.151,12,reviewed,us,us
2017-03-22T14:45:53.370Z,37.0534,-97.3662,1.51,2.5,mb_lg,,141,0.098,0.19,us,us20008tyq,2017-03-23T05:42:00.040Z,"21km E of Caldwell, Kansas",earthquake,1.2,0.8,0.147,12,reviewed,us,us
2017-03-22T14:00:09.100Z,35.8537,-96.6512,4.708,3.7,mwr,,42,,0.21,us,us20008trk,2017-03-24T17:03:56.108Z,"11km N of Stroud, Oklahoma",earthquake,1,2.5,0.051,37,reviewed,tul,us
2017-03-22T13:50:14.790Z,35.6388,140.6496,57.54,4.3,mb,,156,2.177,0.95,us,us20008twh,2017-03-23T00:00:25.135Z,"8km S of Asahi, Japan",earthquake,7.8,6.1,0.116,21,reviewed,us,us
2017-03-22T13:36:28.140Z,36.4841,-98.792,4.29,2.7,mb_lg,,85,0.04,0.32,us,us20008tqm,2017-03-22T21:39:00.534Z,"36km NW of Fairview, Oklahoma",earthquake,1.7,2.1,0.104,24,reviewed,us,us
2017-03-22T13:22:46.140Z,36.4834,-98.7977,1.32,2.5,mb_lg,,87,0.045,0.21,us,us20008tqj,2017-03-22T13:30:04.040Z,"36km E of Mooreland, Oklahoma",earthquake,1.2,4.4,0.136,14,reviewed,us,us
2017-03-22T12:39:47.300Z,33.932,-116.823,6.06,2.69,ml,128,24,0.03712,0.16,ci,ci37610319,2017-03-23T10:52:37.739Z,"4km WNW of Cabazon, CA",earthquake,0.09,0.28,0.151,168,reviewed,ci,ci
2017-03-22T11:27:05.610Z,37.6554,71.9091,24.31,5.1,mb,,53,0.234,1.47,us,us20008tqc,2017-03-22T19:29:49.060Z,"33km ENE of Shughnon, Tajikistan",earthquake,5.6,4.8,0.056,103,reviewed,us,us
2017-03-22T09:04:52.610Z,65.1475,-169.1229,10,4.2,mb,,126,0.65,0.94,us,us20008tpl,2017-03-22T19:30:45.874Z,"64km S of Little Diomede Island, Alaska",earthquake,5,1.9,0.136,15,reviewed,us,us
2017-03-22T08:02:27.240Z,-6.7451,129.7827,141.37,5.1,mb,,67,1.942,1.35,us,us20008tp8,2017-03-22T08:18:07.040Z,"215km NW of Saumlaki, Indonesia",earthquake,8.4,8.1,0.131,19,reviewed,us,us
2017-03-22T06:09:39.200Z,17.95,-66.2754,8,2.5,Md,10,187.2,0.15990012,0.28,pr,pr17081002,2017-03-22T08:32:38.961Z,"3km SE of Salinas, Puerto Rico",earthquake,1,1.4,0,6,reviewed,pr,pr
2017-03-22T05:42:21.200Z,18.2759,-65.3498,22,2.6,Md,3,162,0.07096691,0.05,pr,pr17081001,2017-03-22T08:04:55.677Z,"5km WSW of Culebra, Puerto Rico",earthquake,0.8,1.2,0,3,reviewed,pr,pr
2017-03-22T05:18:43.200Z,18.7374,-65.3206,48,3.1,Md,10,277.2,0.42849639,0.23,pr,pr17081000,2017-03-22T07:49:48.902Z,"48km N of Culebra, Puerto Rico",earthquake,2.5,3.7,0,7,reviewed,pr,pr
2017-03-22T04:32:31.410Z,34.0295,-118.824,4.13,2.66,ml,86,70,0.04375,0.28,ci,ci37610143,2017-03-23T06:44:34.053Z,"3km NNW of Malibu, CA",earthquake,0.26,0.57,0.163,148,reviewed,ci,ci
2017-03-22T02:31:23.650Z,46.5671667,-112.5615,14.1,2.59,ml,24,72,0.065,0.23,mb,mb80202654,2017-03-22T14:42:55.877Z,"23km NE of Deer Lodge, Montana",earthquake,0.43,0.68,0.349,16,reviewed,mb,mb
2017-03-22T02:30:52.726Z,63.5589,-147.3343,1.8,2.5,ml,,,,0.74,ak,ak15581270,2017-03-22T02:44:06.155Z,"82km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-03-22T01:47:18.750Z,51.4927,-176.6356,45.17,3.9,mb,,199,0.391,1.06,us,us20008tnf,2017-03-22T23:13:57.040Z,"43km S of Adak, Alaska",earthquake,8.8,14.8,0.077,45,reviewed,us,us
2017-03-22T00:21:05.950Z,37.4334,141.3897,37.03,4.6,mb,,142,0.644,0.69,us,us20008tmx,2017-03-22T01:28:26.906Z,"34km E of Namie, Japan",earthquake,6.7,7.5,0.081,45,reviewed,us,us
2017-03-21T23:48:49.100Z,17.9706,-66.318,8,2.7,Md,3,212.4,0.26769795,0.14,pr,pr17080011,2017-03-22T04:46:14.202Z,"1km S of Las Ochenta, Puerto Rico",earthquake,1.2,0.8,0,2,reviewed,pr,pr
2017-03-21T23:10:25.760Z,-8.6136,115.3023,118.42,5.5,mww,,24,4.781,1.44,us,us20008tme,2017-03-23T01:27:15.023Z,"2km NE of Banjar Pasekan, Indonesia",earthquake,7.4,6.2,,,reviewed,us,us
2017-03-21T21:59:51.400Z,18.8645,-64.3507,37,2.9,Md,3,345.6,1.04204573,0.2,pr,pr17080010,2017-03-22T04:44:53.964Z,"56km NNE of Road Town, British Virgin Islands",earthquake,5.5,13,0,2,reviewed,pr,pr
2017-03-21T21:08:12.530Z,13.692,144.7259,133.26,4.6,mb,,65,0.172,0.88,us,us20008tli,2017-03-21T22:02:36.130Z,"22km NNW of Dededo Village, Guam",earthquake,4.5,4.9,0.085,41,reviewed,us,us
2017-03-21T21:07:44.600Z,18.7835,-66.0845,42,2.9,Md,5,266.4,0.52012455,0.1,pr,pr17080009,2017-03-22T04:43:12.674Z,"35km N of San Juan, Puerto Rico",earthquake,1.1,2,0,2,reviewed,pr,pr
2017-03-21T19:13:35.100Z,36.8778333,-121.3358333,5.9,2.53,md,55,80,0.04439,0.08,nc,nc72779116,2017-03-22T00:00:03.283Z,"6km ENE of Hollister, California",earthquake,0.16,0.38,0.184,69,reviewed,nc,nc
2017-03-21T18:48:04.720Z,2.3956,98.9117,142.73,4.3,mb,,77,0.296,0.55,us,us20008tkr,2017-03-22T16:28:38.040Z,"29km S of Parapat, Indonesia",earthquake,6.6,4.1,0.092,33,reviewed,us,us
2017-03-21T18:25:09.500Z,36.009,-96.7643,3.489,2.7,ml,,60,,0.24,us,us20008tkf,2017-03-22T16:10:39.242Z,"2km N of Cushing, Oklahoma",earthquake,0.7,2.1,,,reviewed,tul,tul
2017-03-21T17:32:26.110Z,0.734,123.6968,268.91,4.3,mb,,81,1.991,1.06,us,us20008tk0,2017-03-22T14:32:30.040Z,"23km SE of Pimpi, Indonesia",earthquake,5,7.8,0.094,32,reviewed,us,us
2017-03-21T17:20:52.530Z,36.3845,-112.2428,17.91,2.9,ml,,119,0.058,0.31,us,us20008tk8,2017-03-22T14:12:38.040Z,"37km NNW of Grand Canyon, Arizona",earthquake,2.8,5.3,0.031,140,reviewed,us,us
2017-03-21T17:06:46.500Z,36.307,-97.5883,7.242,2.5,ml,,38,,0.25,us,us20008tjq,2017-03-22T14:10:10.040Z,"27km ESE of Enid, Oklahoma",earthquake,0.9,4.8,,,reviewed,tul,tul
2017-03-21T15:47:49.000Z,19.1471,-64.7164,41,3.2,Md,5,331.2,0.99263839,0.11,pr,pr17080007,2017-03-21T21:35:32.068Z,"81km N of Road Town, British Virgin Islands",earthquake,2.8,9.1,0,5,reviewed,pr,pr
2017-03-21T15:35:31.100Z,17.454,-66.2137,22,2.8,Md,7,255.6,0.51832792,0.2,pr,pr17080005,2017-03-21T17:15:53.310Z,"55km S of Jobos, Puerto Rico",earthquake,1.2,14.1,0,4,reviewed,pr,pr
2017-03-21T15:15:33.220Z,35.0369,140.1483,77.12,4.2,mb,,158,1.655,0.99,us,us20008tlh,2017-03-24T11:12:25.585Z,"8km SSE of Kawaguchi, Japan",earthquake,6.5,11.5,0.187,8,reviewed,us,us
2017-03-21T15:01:59.030Z,-21.5684,-68.4366,121.76,5,mwr,,29,0.782,0.82,us,us20008tjf,2017-03-22T11:42:31.361Z,"111km NNE of Calama, Chile",earthquake,7.1,6.6,,,reviewed,us,guc
2017-03-21T14:08:08.380Z,36.45,70.8169,131.17,4.5,mb,,104,0.701,1.17,us,us20008tjd,2017-03-21T14:57:30.040Z,"46km S of Jarm, Afghanistan",earthquake,7.9,7.3,0.124,19,reviewed,us,us
2017-03-21T13:25:00.000Z,18.0946,-68.6555,54,3.4,Md,12,295.2,0.49137846,0.73,pr,pr17080004,2017-03-21T13:40:44.897Z,"31km S of Boca de Yuma, Dominican Republic",earthquake,5.8,7.6,0,11,reviewed,pr,pr
2017-03-21T13:13:39.180Z,-6.0379,104.3725,47.87,5.3,mb,,69,2.183,1.36,us,us20008tj0,2017-03-21T23:36:46.678Z,"66km SSW of Kotaagung, Indonesia",earthquake,8.2,5.4,0.057,104,reviewed,us,us
2017-03-21T13:10:45.450Z,2.4713,127.0198,13.73,4.3,mb,,174,1.723,0.52,us,us20008tiz,2017-03-21T14:23:42.040Z,"137km NW of Tobelo, Indonesia",earthquake,11.1,4.6,0.129,17,reviewed,us,us
2017-03-21T11:58:44.010Z,-37.7421,179.6201,10,4.7,mb,,146,1.057,0.88,us,us20008tis,2017-03-21T13:49:56.040Z,"173km NE of Gisborne, New Zealand",earthquake,8.4,1.9,0.113,24,reviewed,us,us
2017-03-21T10:47:36.881Z,69.5822,-146.1069,8.3,2.8,ml,,,,0.53,ak,ak15570744,2017-03-21T10:56:19.999Z,"113km SE of Prudhoe Bay, Alaska",earthquake,,3.2,,,automatic,ak,ak
